age,workclass,fnlgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,label,predicted_score,predicted_label,type
40,Private,196029,HS-grad,Divorced,Transport-moving,Unmarried,White,Male,0,0,45,United-States,<=50K,0,0.056136172,0,TN
41,Private,324629,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Yugoslavia,<=50K,0,0.89004856,1,FP
38,Federal-gov,37683,Prof-school,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,99999,0,57,Canada,>50K,1,0.9996947,1,TP
34,Private,301591,HS-grad,Never-married,Exec-managerial,Unmarried,White,Female,0,0,35,United-States,<=50K,0,8.145646e-05,0,TN
32,Private,211751,Assoc-voc,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,0,0.0052178255,0,TN
49,Private,323773,11th,Married-civ-spouse,Priv-house-serv,Other-relative,White,Female,0,0,40,United-States,<=50K,0,0.0008985928,0,TN
24,Private,229393,11th,Never-married,Farming-fishing,Unmarried,White,Male,2463,0,40,United-States,<=50K,0,3.1345426e-06,0,TN
22,Private,142566,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.00033020624,0,TN
39,Local-gov,301614,11th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,0,0.00036269307,0,TN
29,Private,160279,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K,0,0.0041741137,0,TN
76,Self-emp-not-inc,236878,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States,<=50K,0,0.0048507447,0,TN
57,Private,114495,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,0,0.45978937,0,TN
36,Private,175360,Masters,Never-married,Adm-clerical,Not-in-family,White,Male,13550,0,50,United-States,>50K,1,0.9999975,1,TP
21,Private,185582,Some-college,Never-married,Sales,Own-child,White,Male,0,0,43,United-States,<=50K,0,0.0013846726,0,TN
23,Private,289909,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K,0,7.017874e-05,0,TN
34,Private,271933,HS-grad,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,<=50K,0,0.3906204,0,TN
32,Local-gov,178109,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,43,United-States,<=50K,0,0.33122003,0,TN
20,Private,204226,11th,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,0,1.2846977e-05,0,TN
37,Private,208391,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,1,0.50755554,0,FN
36,Private,114605,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,1,0.58651865,1,TP
41,Private,207578,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,India,>50K,1,0.60563177,1,TP
29,Private,179008,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States,<=50K,0,0.01476928,0,TN
31,Private,195136,Assoc-acdm,Divorced,Other-service,Not-in-family,White,Female,0,0,32,United-States,<=50K,0,0.0016856871,0,TN
32,Private,249550,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,44,United-States,<=50K,0,0.03444922,0,TN
35,Self-emp-not-inc,89508,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,3908,0,60,United-States,<=50K,0,0.0010485307,0,TN
34,State-gov,173730,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,<=50K,0,0.14758852,0,TN
29,Private,353352,Assoc-voc,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K,0,0.026342066,0,TN
26,Private,139992,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0.01162354,0,TN
29,Private,184078,HS-grad,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,<=50K,0,0.00064730353,0,TN
38,Self-emp-not-inc,152621,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,United-States,<=50K,0,0.26567775,0,TN
61,Private,230568,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K,1,0.017877726,0,FN
30,Self-emp-not-inc,173854,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,0,0.5125867,0,TN
31,Private,44464,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,1564,60,United-States,>50K,1,0.98154026,1,TP
40,Private,220563,12th,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.011496195,0,TN
43,Self-emp-not-inc,292175,Masters,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50K,1,0.004502471,0,FN
30,Private,151967,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,58,United-States,<=50K,0,0.3164458,0,TN
40,Private,236021,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,0,0.51469326,0,TN
29,Private,135296,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States,>50K,1,0.8093844,1,TP
23,Private,117583,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0,0.00050635927,0,TN
30,Private,105908,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0.15466183,0,TN
30,State-gov,234824,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,72,United-States,<=50K,0,0.3217822,0,TN
38,Self-emp-inc,187934,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,Poland,<=50K,0,0.0077125505,0,TN
64,Private,319371,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K,1,0.9949877,1,TP
28,Private,139903,Bachelors,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K,0,0.0011715697,0,TN
27,Private,155057,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,1,0.56939054,1,TP
32,Private,288273,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,Mexico,<=50K,0,0.18813424,0,TN
52,Private,373367,11th,Widowed,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.024484847,0,TN
20,,211968,Some-college,Never-married,,Own-child,White,Female,0,0,45,United-States,<=50K,0,8.301476e-06,0,TN
24,Private,113466,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.0012000318,0,TN
24,Private,417668,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,0,0,30,United-States,<=50K,0,4.478704e-05,0,TN
40,Private,164663,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,0,0.050925907,0,TN
43,Self-emp-not-inc,144928,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,60,United-States,<=50K,0,0.0055515463,0,TN
20,Private,186830,HS-grad,Never-married,Transport-moving,Other-relative,Black,Male,0,0,45,United-States,<=50K,0,3.8128008e-05,0,TN
44,Private,279183,Some-college,Married-civ-spouse,Other-service,Own-child,White,Female,0,0,40,United-States,>50K,1,0.04928015,0,FN
24,Private,137591,Some-college,Never-married,Sales,Own-child,White,Male,0,1762,40,United-States,<=50K,0,0.03082487,0,TN
48,Private,209460,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.0028801125,0,TN
30,Private,101345,Bachelors,Married-civ-spouse,Sales,Wife,White,Female,3103,0,55,United-States,>50K,1,0.5839771,1,TP
60,Private,162347,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States,>50K,1,0.9990515,1,TP
46,Private,96080,9th,Separated,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,0,0.006372936,0,TN
35,Private,63509,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K,0,0.6415324,1,FP
22,Private,48347,Bachelors,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K,0,4.314765e-05,0,TN
51,Private,128272,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,0,0.7351088,1,FP
61,Private,85434,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,0,0.44552517,0,TN
30,Private,174789,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1848,50,United-States,>50K,1,0.9962256,1,TP
90,Private,171956,Some-college,Separated,Adm-clerical,Own-child,White,Female,0,0,40,Puerto-Rico,<=50K,0,0.00012620846,0,TN
22,Private,310152,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.00074769836,0,TN
49,Self-emp-inc,58359,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K,1,0.9999976,1,TP
20,Private,293726,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,5.4139487e-05,0,TN
32,Private,168443,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K,0,0.8949049,1,FP
45,Federal-gov,359808,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.0564919,0,TN
24,Private,96279,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K,0,0.00013936432,0,TN
23,State-gov,283499,HS-grad,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,<=50K,0,2.1646452e-05,0,TN
57,Local-gov,52267,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,United-States,<=50K,0,0.08341268,0,TN
19,Private,213024,12th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,0,1.0569423e-05,0,TN
55,Private,326297,HS-grad,Separated,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K,0,8.7876535e-05,0,TN
36,Private,54229,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,37,United-States,<=50K,0,0.5914128,1,FP
41,State-gov,70884,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,0,0.27088344,0,TN
24,Private,239663,10th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K,0,0.00037172547,0,TN
50,Self-emp-not-inc,54261,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,84,United-States,<=50K,0,0.15337124,0,TN
33,Private,206280,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,<=50K,0,0.0022339234,0,TN
50,Private,124094,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Poland,<=50K,0,0.5516915,1,FP
29,Private,115677,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.122820966,0,TN
21,Local-gov,309348,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,594,0,4,United-States,<=50K,0,1.6497918e-10,0,TN
19,Private,175081,9th,Never-married,Craft-repair,Other-relative,White,Male,0,0,60,United-States,<=50K,0,0.0010978344,0,TN
29,Private,145011,Some-college,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0,0.054570474,0,TN
32,Private,123429,10th,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.00441529,0,TN
47,Private,73064,7th-8th,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,35,United-States,<=50K,0,0.0025203764,0,TN
31,Local-gov,58624,HS-grad,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,0,0.00013844854,0,TN
81,Private,122651,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,15,United-States,<=50K,0,0.0025293531,0,TN
33,Private,287908,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,50,United-States,>50K,1,0.027688993,0,FN
35,Self-emp-not-inc,171968,HS-grad,Separated,Transport-moving,Not-in-family,White,Male,0,0,70,United-States,<=50K,0,0.0079186605,0,TN
26,Self-emp-not-inc,189238,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,4,Mexico,<=50K,0,1.4163185e-06,0,TN
23,Local-gov,117618,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,0,0,24,United-States,<=50K,0,9.0137764e-05,0,TN
53,Local-gov,233722,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,<=50K,0,0.021053763,0,TN
