feature,feature value,n_samples,precision,recall,fbeta,fscore
workclass,Private,4501,0.7334905660377359,0.6366427840327533,0.6816438356164385,0.6816438356164385
workclass,Federal-gov,203,0.7073170731707317,0.7341772151898734,0.7204968944099378,0.7204968944099378
workclass,Local-gov,420,0.7238095238095238,0.6608695652173913,0.6909090909090909,0.6909090909090909
workclass,Self-emp-not-inc,530,0.6611570247933884,0.5263157894736842,0.5860805860805861,0.5860805860805861
workclass,State-gov,271,0.6585365853658537,0.7105263157894737,0.6835443037974684,0.6835443037974684
workclass,Self-emp-inc,224,0.776,0.7404580152671756,0.7578125000000001,0.7578125000000001
workclass,,0,1.0,1.0,1.0,1.0
workclass,Without-pay,5,1.0,1.0,1.0,1.0
education,HS-grad,2105,0.5276595744680851,0.41471571906354515,0.4644194756554307,0.4644194756554307
education,Bachelors,1066,0.7587006960556845,0.7331838565022422,0.7457240592930444,0.7457240592930444
education,Prof-school,121,0.9021739130434783,0.9120879120879121,0.907103825136612,0.907103825136612
education,Assoc-voc,277,0.7105263157894737,0.6506024096385542,0.679245283018868,0.679245283018868
education,11th,227,0.6,0.2727272727272727,0.37499999999999994,0.37499999999999994
education,Masters,345,0.8350515463917526,0.8223350253807107,0.8286445012787723,0.8286445012787723
education,Some-college,1452,0.6696428571428571,0.5319148936170213,0.592885375494071,0.592885375494071
education,Assoc-acdm,216,0.7142857142857143,0.5660377358490566,0.631578947368421,0.631578947368421
education,12th,85,0.0,0.0,0.0,0.0
education,9th,98,0.3333333333333333,0.25,0.28571428571428575,0.28571428571428575
education,10th,195,0.25,0.1,0.14285714285714288,0.14285714285714288
education,7th-8th,136,0.2857142857142857,0.25,0.26666666666666666,0.26666666666666666
education,Doctorate,90,0.8571428571428571,0.8695652173913043,0.8633093525179856,0.8633093525179856
education,1st-4th,28,1.0,0.0,0.0,0.0
education,5th-6th,63,0.0,1.0,0.0,0.0
education,Preschool,4,1.0,1.0,1.0,1.0
marital-status,Divorced,893,0.6714285714285714,0.49473684210526314,0.5696969696969696,0.5696969696969696
marital-status,Married-civ-spouse,3037,0.7203867848509267,0.6716754320060105,0.6951788491446346,0.6951788491446346
marital-status,Never-married,2076,0.7333333333333333,0.4631578947368421,0.567741935483871,0.567741935483871
marital-status,Widowed,185,0.6,0.21428571428571427,0.3157894736842105,0.3157894736842105
marital-status,Separated,229,0.8,0.42105263157894735,0.5517241379310345,0.5517241379310345
marital-status,Married-spouse-absent,85,1.0,0.2,0.33333333333333337,0.33333333333333337
marital-status,Married-AF-spouse,3,1.0,0.0,0.0,0.0
occupation,Transport-moving,332,0.5,0.375,0.42857142857142855,0.42857142857142855
occupation,Exec-managerial,819,0.7716535433070866,0.7443037974683544,0.7577319587628866,0.7577319587628866
occupation,Prof-specialty,842,0.800531914893617,0.7921052631578948,0.7962962962962963,0.7962962962962963
occupation,Other-service,662,0.38095238095238093,0.32,0.34782608695652173,0.34782608695652173
occupation,Priv-house-serv,34,1.0,1.0,1.0,1.0
occupation,Farming-fishing,225,0.6666666666666666,0.27586206896551724,0.3902439024390244,0.3902439024390244
occupation,Sales,741,0.7705882352941177,0.655,0.708108108108108,0.708108108108108
occupation,Machine-op-inspct,390,0.47619047619047616,0.2857142857142857,0.3571428571428571,0.3571428571428571
occupation,Craft-repair,811,0.5878378378378378,0.46524064171123,0.5194029850746269,0.5194029850746269
occupation,Adm-clerical,719,0.5824175824175825,0.5247524752475248,0.5520833333333334,0.5520833333333334
occupation,Handlers-cleaners,270,0.6,0.3333333333333333,0.42857142857142855,0.42857142857142855
occupation,Protective-serv,135,0.75,0.6976744186046512,0.7228915662650603,0.7228915662650603
occupation,,0,1.0,1.0,1.0,1.0
occupation,Tech-support,172,0.7777777777777778,0.660377358490566,0.7142857142857142,0.7142857142857142
occupation,Armed-Forces,2,1.0,1.0,1.0,1.0
relationship,Unmarried,711,0.6086956521739131,0.3684210526315789,0.4590163934426229,0.4590163934426229
relationship,Husband,2646,0.7210379981464319,0.6712683347713546,0.6952636282394995,0.6952636282394995
relationship,Not-in-family,1617,0.725,0.48333333333333334,0.58,0.58
relationship,Other-relative,183,1.0,0.3333333333333333,0.5,0.5
relationship,Own-child,1007,0.7142857142857143,0.3333333333333333,0.4545454545454545,0.4545454545454545
relationship,Wife,344,0.7115384615384616,0.6851851851851852,0.6981132075471698,0.6981132075471698
