age,workclass,fnlgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,label,predicted_score,predicted_label,type
21,Private,102766,Some-college,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0,2.1585352e-05,0,TN
58,Private,301867,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,0,0.004665426,0,TN
19,Private,123718,Some-college,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K,0,1.0342632e-06,0,TN
50,Self-emp-not-inc,146603,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1,0.90474504,1,TP
46,Self-emp-not-inc,113434,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0.7233157,1,FP
43,Federal-gov,19914,Some-college,Widowed,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,0,0,15,United-States,<=50K,0,0.00021606639,0,TN
39,Private,81487,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,0,625,40,United-States,<=50K,0,0.023558686,0,TN
22,State-gov,22966,Some-college,Married-spouse-absent,Tech-support,Unmarried,White,Male,0,0,20,United-States,<=50K,0,5.676569e-05,0,TN
26,Private,233777,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,1,0.0019602813,0,FN
66,Private,127921,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,2050,0,55,United-States,<=50K,0,8.0748705e-06,0,TN
30,Private,169589,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,0,0.81479836,1,FP
36,Private,138441,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,0,6.0213304e-05,0,TN
48,Self-emp-inc,85109,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K,0,0.010282738,0,TN
24,Private,216129,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K,0,0.0002443369,0,TN
45,Private,129336,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K,1,0.5283536,1,TP
34,Private,376979,9th,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.00045823187,0,TN
34,State-gov,204461,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,1,0.21239808,0,FN
37,Private,87076,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,0,4.392107e-05,0,TN
19,Private,156587,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,38,United-States,<=50K,0,2.0478585e-06,0,TN
39,Private,216129,Assoc-acdm,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,35,Jamaica,<=50K,0,1.3891582e-05,0,TN
51,Local-gov,168539,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1,0.79844326,1,TP
25,Private,241626,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K,0,3.7406969e-07,0,TN
32,Private,241802,HS-grad,Married-civ-spouse,Other-service,Wife,Other,Female,0,0,40,United-States,<=50K,0,0.007492514,0,TN
48,,167381,HS-grad,Widowed,,Unmarried,White,Female,0,0,25,United-States,<=50K,0,0.0005013451,0,TN
21,,189888,Assoc-acdm,Never-married,,Not-in-family,White,Male,0,0,55,United-States,<=50K,0,0.0001845231,0,TN
19,,20469,HS-grad,Never-married,,Other-relative,Asian-Pac-Islander,Female,0,0,12,South,<=50K,0,4.5367052e-08,0,TN
55,Private,129762,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0,8.759201e-06,0,TN
41,Private,206470,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Germany,<=50K,0,0.21897857,0,TN
34,Local-gov,226296,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,1,0.47985476,0,FN
63,Local-gov,86590,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,32,United-States,<=50K,0,0.5958176,1,FP
40,Private,291808,HS-grad,Divorced,Protective-serv,Not-in-family,Black,Female,0,0,40,United-States,<=50K,0,0.028605793,0,TN
39,Federal-gov,206190,HS-grad,Never-married,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K,0,0.040503085,0,TN
45,Local-gov,257855,11th,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,50,United-States,<=50K,0,0.0125496825,0,TN
32,Private,188557,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.00060295983,0,TN
37,Private,125933,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K,1,1.0,1,TP
36,Private,410034,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,0,0.0302614,0,TN
24,Private,127753,12th,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K,0,0.00065760035,0,TN
31,Private,243442,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,<=50K,0,0.011407477,0,TN
34,,181934,HS-grad,Divorced,,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0.00026687732,0,TN
73,Private,123160,10th,Widowed,Other-service,Not-in-family,White,Female,0,0,10,United-States,<=50K,0,6.3409702e-06,0,TN
48,Private,175070,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,40,United-States,>50K,1,0.028462715,0,FN
37,Federal-gov,188069,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Philippines,>50K,1,0.9207989,1,TP
40,Private,150471,Assoc-acdm,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0.0010672539,0,TN
59,Self-emp-not-inc,170411,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,0,0.4291937,0,TN
42,Private,33521,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,1,0.050582893,0,FN
31,Private,291702,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0.07589969,0,TN
41,Self-emp-not-inc,254818,Masters,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,40,Peru,<=50K,0,0.00066319184,0,TN
48,Private,145041,HS-grad,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,Dominican-Republic,<=50K,0,7.69227e-07,0,TN
44,Private,313022,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,>50K,1,0.24251164,0,FN
40,Private,96509,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,>50K,1,0.035484787,0,FN
24,Private,410439,Some-college,Never-married,Craft-repair,Own-child,White,Male,0,0,15,United-States,<=50K,0,1.6906545e-08,0,TN
28,Private,167336,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,45,United-States,>50K,1,0.037774384,0,FN
36,Private,187167,Assoc-acdm,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K,0,0.6262264,1,FP
35,Private,93225,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0.07880685,0,TN
43,Private,39581,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,0,0,45,United-States,<=50K,0,2.060445e-06,0,TN
36,State-gov,422275,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K,0,0.00045435794,0,TN
23,Private,107801,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,1617,25,United-States,<=50K,0,1.9214785e-06,0,TN
27,Federal-gov,148153,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K,0,0.64283425,1,FP
24,Private,161092,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K,1,0.9992061,1,TP
56,Federal-gov,141877,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,1,0.8885918,1,TP
39,Private,183898,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,60,Germany,>50K,1,0.99999046,1,TP
