feature,feature value,n_samples,precision,recall,fbeta,fscore
workclass,Private,4501,0.7113636363636363,0.6071774975751697,0.6551543694400838,0.6551543694400838
workclass,Self-emp-not-inc,516,0.6333333333333333,0.5100671140939598,0.5650557620817844,0.5650557620817844
workclass,Federal-gov,188,0.7702702702702703,0.7307692307692307,0.75,0.75
workclass,State-gov,266,0.7341772151898734,0.7341772151898734,0.7341772151898734,0.7341772151898734
workclass,Self-emp-inc,217,0.7583333333333333,0.7583333333333333,0.7583333333333333,0.7583333333333333
workclass,Local-gov,439,0.7256637168141593,0.6259541984732825,0.6721311475409836,0.6721311475409836
workclass,,0,1.0,1.0,1.0,1.0
workclass,Without-pay,3,1.0,1.0,1.0,1.0
workclass,Never-worked,1,1.0,1.0,1.0,1.0
education,Some-college,1425,0.6340425531914894,0.5265017667844523,0.5752895752895754,0.5752895752895754
education,HS-grad,2100,0.601593625498008,0.4182825484764543,0.49346405228758167,0.49346405228758167
education,Prof-school,124,0.8901098901098901,0.9,0.8950276243093923,0.8950276243093923
education,Bachelors,1090,0.7688679245283019,0.7228381374722838,0.7451428571428571,0.7451428571428571
education,Masters,365,0.8088235294117647,0.8208955223880597,0.8148148148148148,0.8148148148148148
education,9th,111,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333
education,Assoc-acdm,225,0.6923076923076923,0.5901639344262295,0.6371681415929203,0.6371681415929203
education,11th,216,0.25,0.16666666666666666,0.2,0.2
education,12th,85,0.4,0.2222222222222222,0.2857142857142857,0.2857142857142857
education,10th,179,0.5,0.4444444444444444,0.47058823529411764,0.47058823529411764
education,7th-8th,124,0.25,0.25,0.25,0.25
education,Assoc-voc,260,0.6153846153846154,0.5263157894736842,0.5673758865248227,0.5673758865248227
education,5th-6th,72,1.0,0.0,0.0,0.0
education,Doctorate,85,0.6865671641791045,0.7796610169491526,0.7301587301587301,0.7301587301587301
education,Preschool,15,1.0,1.0,1.0,1.0
education,1st-4th,32,1.0,0.3333333333333333,0.5,0.5
marital-status,Divorced,890,0.6333333333333333,0.40425531914893614,0.49350649350649345,0.49350649350649345
marital-status,Married-civ-spouse,3005,0.7146263910969793,0.6486291486291487,0.6800302571860818,0.6800302571860818
marital-status,Never-married,2116,0.7972972972972973,0.48760330578512395,0.6051282051282051,0.6051282051282051
marital-status,Widowed,195,0.2,0.14285714285714285,0.16666666666666666,0.16666666666666666
marital-status,Married-spouse-absent,80,0.4,0.3333333333333333,0.3636363636363636,0.3636363636363636
marital-status,Separated,217,0.5454545454545454,0.6,0.5714285714285713,0.5714285714285713
marital-status,Married-AF-spouse,5,0.0,0.0,0.0,0.0
occupation,Craft-repair,824,0.6052631578947368,0.46938775510204084,0.5287356321839081,0.5287356321839081
occupation,Farming-fishing,185,0.6666666666666666,0.35714285714285715,0.46511627906976744,0.46511627906976744
occupation,Sales,743,0.6263736263736264,0.6031746031746031,0.61455525606469,0.61455525606469
occupation,Prof-specialty,858,0.7936507936507936,0.7425742574257426,0.7672634271099744,0.7672634271099744
occupation,Exec-managerial,776,0.7984084880636605,0.7620253164556962,0.7797927461139895,0.7797927461139895
occupation,Tech-support,189,0.7288135593220338,0.6935483870967742,0.7107438016528926,0.7107438016528926
occupation,Machine-op-inspct,416,0.5454545454545454,0.375,0.4444444444444444,0.4444444444444444
occupation,Transport-moving,333,0.4878048780487805,0.36363636363636365,0.4166666666666667,0.4166666666666667
occupation,Adm-clerical,706,0.6022727272727273,0.4818181818181818,0.5353535353535355,0.5353535353535355
occupation,Other-service,673,0.625,0.30303030303030304,0.40816326530612246,0.40816326530612246
occupation,,0,1.0,1.0,1.0,1.0
occupation,Protective-serv,128,0.7272727272727273,0.48,0.5783132530120482,0.5783132530120482
occupation,Handlers-cleaners,278,0.36363636363636365,0.23529411764705882,0.2857142857142857,0.2857142857142857
occupation,Priv-house-serv,19,1.0,1.0,1.0,1.0
occupation,Armed-Forces,2,1.0,1.0,1.0,1.0
relationship,Own-child,1001,0.8,0.6666666666666666,0.7272727272727272,0.7272727272727272
relationship,Husband,2654,0.7171171171171171,0.6461038961038961,0.6797608881298036,0.6797608881298036
relationship,Unmarried,683,0.55,0.3055555555555556,0.39285714285714285,0.39285714285714285
relationship,Not-in-family,1660,0.688,0.4574468085106383,0.549520766773163,0.549520766773163
relationship,Wife,303,0.704225352112676,0.6711409395973155,0.6872852233676977,0.6872852233676977
relationship,Other-relative,207,0.5714285714285714,0.5,0.5333333333333333,0.5333333333333333
race,White,5595,0.711523588553751,0.6203641267700607,0.6628242074927954,0.6628242074927954
race,Amer-Indian-Eskimo,60,1.0,0.2,0.33333333333333337,0.33333333333333337
race,Black,595,0.7333333333333333,0.5866666666666667,0.6518518518518519,0.6518518518518519
race,Other,53,0.5,0.25,0.3333333333333333,0.3333333333333333
race,Asian-Pac-Islander,205,0.6666666666666666,0.7169811320754716,0.6909090909090909,0.6909090909090909
sex,Male,4353,0.714168039538715,0.6246397694524496,0.6664104534973098,0.6664104534973098
sex,Female,2155,0.69,0.5822784810126582,0.631578947368421,0.631578947368421
native-country,United-States,5842,0.7136222910216719,0.6183769282360831,0.662594322673374,0.662594322673374
native-country,Jamaica,15,1.0,0.0,0.0,0.0
native-country,South,20,0.5,0.5,0.5,0.5
native-country,Germany,23,1.0,0.8571428571428571,0.923076923076923,0.923076923076923
